408629	49596	Blue Lock
219771	9513	Beelzebub
331753	34572	Black Clover
305074	31964	Boku no Hero Academia
413555	37914	Chikyuugai Shounen Shoujo
79525	1575	Code Geass: Hangyaku no Lelouch
79895	918	Gintama
278157	20583	Haikyuu!!
262106	14713	Kamisama Hajimemashita
348545	38000	Kimetsu no Yaiba
272697	18153	Kyoukai no Kanata
408348	49556	Love All Play
326109	34599	Made in Abyss
80675	2581	Mobile Suit Gundam 00
403849	6336	Mobile Suit Gundam Unicorn
294002	29803	Overlord
305089	31240	Re:Zero kara Hajimeru Isekai Seikatsu
411665	50185	Ryman's Club
173271	8675	Seitokai Yakuindomo
267440	16498	Shingeki no Kyojin
402640	47162	Shokei Shoujo no Virgin Road
281249	22319	Tokyo Ghoul
313435	33255	Saiki Kusuo no Ψ-nan
76013	627	Major
304316	28735	Shouwa Genroku Rakugo Shinjuu
413515	50590	Koukyuu no Karasu
418364	49828	Mobile Suit Gundam: The Witch from Mercury
240291	10165	Nichijou
